# Table 1. Best track for Hurricane Florence, 31 August–17 September 2018
# Source: https://www.nhc.noaa.gov/data/tcr/AL062018_Florence.pdf 
# Date/Time  Latitude  Longitude  Pressure  Wind Speed
# (UTC)      (°N)      (°W)       (mb)      (kt)
20180830 0600 12.8 -16.9 1008 20
20180830 1200 12.8 -17.9 1007 25
20180830 1800 12.8 -19.0 1007 25
20180831 0000 13.1 -20.2 1006 30
20180831 0600 13.4 -21.3 1006 30
20180831 1200 13.6 -22.4 1006 30
20180831 1800 13.8 -23.8 1006 30
20180901 0000 14.0 -24.9 1006 30
20180901 0600 14.3 -26.1 1005 35
20180901 1200 14.8 -27.2 1004 35
20180901 1800 15.4 -28.3 1002 40
20180902 0000 15.8 -29.5 1000 45
20180902 0600 16.4 -30.8 999 50 
20180902 1200 16.8 -32.4 998 50 
20180902 1800 17.1 -33.9 998 50 
20180903 0000 17.6 -35.2 997 50 
20180903 0600 17.9 -36.6 997 50 
20180903 1200 18.2 -38.0 996 55 
20180903 1800 18.4 -39.2 993 60 
20180904 0000 18.7 -40.2 990 65 
20180904 0600 19.1 -41.2 989 65 
20180904 1200 19.5 -42.0 986 70 
20180904 1800 20.0 -42.7 982 75 
20180905 0000 20.4 -43.4 975 85 
20180905 0600 21.1 -44.3 968 95 
20180905 1200 21.7 -45.2 960 105
20180905 1800 22.4 -46.2 950 115
20180906 0000 23.1 -46.9 950 115
20180906 0600 23.8 -47.6 958 105
20180906 1200 24.4 -48.2 970 90 
20180906 1800 24.8 -49.0 980 75 
20180907 0000 25.0 -49.6 990 60 
20180907 0600 25.0 -50.3 992 55 
20180907 1200 24.9 -51.1 993 55 
20180907 1800 24.8 -52.0 993 55 
20180908 0000 24.7 -52.9 993 55 
20180908 0600 24.6 -53.6 993 55 
20180908 1200 24.6 -54.1 992 55 
20180908 1800 24.6 -54.5 989 60 
20180909 0000 24.5 -55.0 989 60 
20180909 0600 24.4 -55.5 988 60 
20180909 1200 24.4 -56.1 984 65 
20180909 1800 24.4 -56.7 979 70 
20180910 0000 24.5 -57.3 973 80 
20180910 0600 24.7 -58.4 967 90 
20180910 1200 24.9 -59.5 954 105
20180910 1800 25.2 -60.6 940 120
20180911 0000 25.6 -61.8 944 115
20180911 0600 26.0 -63.2 950 115
20180911 1200 26.5 -64.7 947 125
20180911 1800 27.2 -66.4 937 130
20180912 0000 27.9 -68.1 943 120
20180912 0600 28.7 -69.5 945 115
20180912 1200 29.4 -70.7 945 115
20180912 1800 30.4 -71.9 949 110
20180913 0000 31.5 -73.2 955 105
20180913 0600 32.4 -74.2 955 100
20180913 1200 33.1 -75.1 954 95 
20180913 1800 33.6 -76.0 953 90 
20180914 0000 34.0 -76.5 952 90 
20180914 0600 34.2 -77.2 952 85 
20180914 1115 34.2 -77.8 956 80 
20180914 1200 34.1 -77.9 957 80 
20180914 1800 34.0 -78.4 969 65 
20180915 0000 33.9 -78.8 978 60 
20180915 0600 33.7 -79.3 986 55 
20180915 1200 33.6 -79.5 992 55 
20180915 1800 33.6 -79.8 997 50 
20180916 0000 33.6 -80.2 998 45 
20180916 0600 33.6 -80.8 999 40 
20180916 1200 33.6 -81.5 1002 35
20180916 1800 34.1 -82.1 1006 30
20180917 0000 35.0 -82.2 1007 25
20180917 0600 36.4 -82.6 1008 25
20180917 1200 38.7 -82.0 1008 25
20180917 1800 38.8 -82.0 1008 25
20180918 0000 39.5 -80.5 1008 25
20180918 0600 41.3 -76.8 1007 25
20180918 1200 42.2 -73.3 1006 25
