Date,42035,srst2,hist2,rlot2,grrt2,ncht2
2017-08-24 00:00:00,4.100,2.200,1.820,3.350,3.510,2.330
2017-08-24 01:00:00,4.900,2.100,2.340,3.830,3.310,2.550
2017-08-24 02:00:00,4.500,2.400,0.950,5.320,3.700,2.430
2017-08-24 03:00:00,3.900,2.200,1.490,1.800,3.120,2.180
2017-08-24 04:00:00,3.300,1.900,1.400,3.180,2.710,1.700
2017-08-24 05:00:00,3.300,1.400,1.330,2.770,1.740,0.660
2017-08-24 06:00:00,3.100,1.600,1.940,3.940,1.770,1.210
2017-08-24 07:00:00,1.800,2.900,1.520,4.440,1.670,1.240
2017-08-24 08:00:00,2.100,2.400,1.590,4.030,2.760,1.550
2017-08-24 09:00:00,1.800,2.800,1.830,4.180,3.850,1.390
2017-08-24 10:00:00,3.000,2.100,1.870,4.770,4.030,1.530
2017-08-24 11:00:00,5.900,2.100,2.180,4.680,5.930,2.220
2017-08-24 12:00:00,6.200,2.700,2.080,4.470,4.590,1.790
2017-08-24 13:00:00,3.500,2.800,1.820,3.960,4.670,1.400
2017-08-24 14:00:00,3.500,3.000,2.210,3.620,4.320,1.730
2017-08-24 15:00:00,6.200,4.300,2.890,3.730,5.110,1.750
2017-08-24 16:00:00,6.600,4.100,2.650,3.380,6.350,2.030
2017-08-24 17:00:00,6.600,4.700,2.920,4.990,5.600,2.150
2017-08-24 18:00:00,6.400,5.400,4.200,7.180,4.850,2.450
2017-08-24 19:00:00,5.900,6.600,5.580,6.940,5.530,1.930
2017-08-24 20:00:00,5.600,3.400,4.340,6.350,5.170,2.450
2017-08-24 21:00:00,6.100,5.400,4.560,5.230,4.980,2.060
2017-08-24 22:00:00,7.500,7.500,4.640,6.590,6.620,3.490
2017-08-24 23:00:00,7.400,4.800,3.740,6.920,7.400,3.870
2017-08-25 00:00:00,8.900,4.500,2.650,6.200,6.430,4.300
2017-08-25 01:00:00,10.600,6.300,3.150,7.000,7.570,3.680
2017-08-25 02:00:00,9.200,5.500,3.640,6.730,9.040,3.720
2017-08-25 03:00:00,9.500,4.100,2.650,6.370,8.890,3.620
2017-08-25 04:00:00,9.500,4.600,3.020,6.770,8.000,3.390
2017-08-25 05:00:00,10.700,3.800,3.600,6.670,8.150,3.020
2017-08-25 06:00:00,10.100,4.500,3.140,6.610,6.270,2.950
2017-08-25 07:00:00,9.700,4.700,2.600,6.790,7.650,2.720
2017-08-25 08:00:00,10.700,3.700,2.613,6.975,6.450,3.462
2017-08-25 09:00:00,10.500,5.000,3.350,6.660,5.600,3.240
2017-08-25 10:00:00,11.300,6.100,2.780,7.240,5.230,3.040
2017-08-25 11:00:00,9.500,5.900,2.930,7.840,4.810,2.280
2017-08-25 12:00:00,7.900,5.500,3.860,5.890,9.260,3.410
2017-08-25 13:00:00,9.600,6.400,3.690,6.630,7.740,3.340
2017-08-25 14:00:00,11.000,2.100,4.830,6.500,10.010,3.760
2017-08-25 15:00:00,11.600,2.400,3.610,8.380,11.630,4.930
2017-08-25 16:00:00,15.500,5.300,4.290,9.380,12.140,4.570
2017-08-25 17:00:00,14.500,6.500,6.560,10.660,12.010,3.850
2017-08-25 18:00:00,14.900,7.600,8.490,12.290,12.530,5.000
