# Table 1. Best track for Hurricane Harvey, 17 August – 1 September 2017
# Source: https://www.nhc.noaa.gov/data/tcr/AL092017_Harvey.pdf
# Date/Time  Latitude  Longitude  Pressure  Wind Speed
# (UTC)      (°N)      (°W)       (mb)      (kt)
20170816 0600 13.7 -45.8 1013 25
20170816 1200 13.7 -47.4 1010 25
20170816 1800 13.6 -49.0 1009 25
20170817 0000 13.6 -50.6 1010 25
20170817 0600 13.4 -52.0 1008 25
20170817 1200 13.1 -53.4 1008 30
20170817 1800 13.0 -55.0 1004 35
20170818 0000 13.0 -56.6 1003 40
20170818 0600 13.0 -58.4 1004 40
20170818 1000 13.1 -59.6 1004 40
20170818 1200 13.1 -60.3 1004 40
20170818 1500 13.2 -61.2 1004 40
20170818 1800 13.2 -62.2 1005 35
20170819 0000 13.4 -64.0 1005 35
20170819 0600 13.5 -65.7 1005 35
20170819 1200 13.7 -67.5 1006 30
20170819 1800 13.8 -69.2 1007 30
20170820 0000 14.0 -71.0 1007 30
20170820 0600 14.2 -72.9 1007 30
20170820 1200 14.4 -75.0 1006 30
20170820 1800 14.7 -76.8 1007 30
20170821 0000 15.1 -78.6 1007 25
20170821 0600 15.7 -80.5 1008 25
20170821 1200 16.4 -82.5 1008 25
20170821 1800 17.3 -84.6 1008 25
20170822 0000 18.0 -86.4 1008 25
20170822 0600 18.6 -87.8 1009 25
20170822 1200 19.4 -88.8 1010 25
20170822 1800 20.0 -89.7 1010 25
20170823 0000 20.5 -90.7 1009 25
20170823 0600 20.9 -91.6 1008 25
20170823 1200 21.4 -92.3 1006 30
20170823 1800 21.6 -92.4 1005 35
20170824 0000 22.0 -92.5 1003 40
20170824 0600 22.8 -92.6 997 50 
20170824 1200 23.7 -93.1 986 60 
20170824 1800 24.4 -93.6 978 70 
20170825 0000 25.0 -94.4 973 80 
20170825 0600 25.6 -95.1 966 90 
20170825 1200 26.3 -95.8 949 95 
20170825 1800 27.1 -96.3 943 105
20170826 0000 27.8 -96.8 941 115
20170826 0300 28.0 -96.9 937 115
20170826 0600 28.2 -97.1 948 105
20170826 1200 28.7 -97.3 978 65 
20170826 1800 29.0 -97.5 991 50 
20170827 0000 29.2 -97.4 995 45 
20170827 0600 29.3 -97.6 998 40 
20170827 1200 29.1 -97.5 998 35 
20170827 1800 29.0 -97.2 998 35 
20170828 0000 28.8 -96.8 997 35 
20170828 0600 28.6 -96.5 997 40 
20170828 1200 28.5 -96.2 997 40 
20170828 1800 28.4 -95.9 997 40 
20170829 0000 28.2 -95.4 996 40 
20170829 0600 28.1 -95.0 996 40 
20170829 1200 28.2 -94.6 995 40 
20170829 1800 28.5 -94.2 993 45 
20170830 0000 28.9 -93.8 994 45 
20170830 0600 29.4 -93.6 990 40 
20170830 0800 29.8 -93.5 991 40 
20170830 1200 30.1 -93.4 992 40 
20170830 1800 30.6 -93.1 996 35 
20170831 0000 31.3 -92.6 998 30 
20170831 0600 31.9 -92.2 999 25 
20170831 1200 32.5 -91.7 1001 20
20170831 1800 33.4 -90.9 1001 25
20170901 0000 34.1 -89.6 1000 30
20170901 0600 34.9 -88.2 1002 30
20170901 1200 36.0 -87.1 1002 25
20170901 1800 36.5 -86.4 1004 20
20170902 0000 37.2 -85.6 1007 20
20170902 0600 37.9 -84.9 1009 20
20170902 1200 38.2 -84.7 1013 15
