# Table 1. Best track for Hurricane Ike, 1 – 14 September 2008.
# Source: https://www.nhc.noaa.gov/data/tcr/AL092008_Ike.pdf
# Date/Time  Latitude  Longitude  Pressure  Wind Speed
# (UTC)      (°N)      (°W)       (mb)      (kt)
20080901 0600 17.2 -37.0 1006 30
20080901 1200 17.3 -38.4 1005 35
20080901 1800 17.5 -39.9 1003 45
20080902 0000 17.8 -41.3 1002 45
20080902 0600 18.2 -42.8 1000 45
20080902 1200 18.7 -44.3 999 50 
20080902 1800 19.3 -45.8 996 55 
20080903 0000 19.8 -47.3 994 55 
20080903 0600 20.2 -48.8 992 55 
20080903 1200 20.6 -50.3 989 60 
20080903 1800 21.1 -51.9 979 75 
20080904 0000 21.8 -53.5 956 105
20080904 0600 22.4 -55.0 935 125
20080904 1200 23.0 -56.4 937 120
20080904 1800 23.4 -57.7 940 115
20080905 0000 23.6 -59.0 944 115
20080905 0600 23.6 -60.4 949 115
20080905 1200 23.5 -61.9 954 105
20080905 1800 23.2 -63.4 959 100
20080906 0000 22.8 -64.9 962 100
20080906 0600 22.4 -66.3 964 100
20080906 1200 21.9 -67.7 965 95 
20080906 1800 21.5 -69.0 950 115
20080907 0000 21.2 -70.3 947 115
20080907 0600 21.1 -71.6 947 115
20080907 1200 21.0 -72.8 947 110
20080907 1800 21.0 -74.0 946 105
20080908 0000 21.1 -75.2 945 115
20080908 0600 21.1 -76.5 950 100
20080908 1200 21.1 -77.8 960 85 
20080908 1800 21.2 -79.1 964 75 
20080909 0000 21.5 -80.3 965 70 
20080909 0600 22.0 -81.4 965 70 
20080909 1200 22.4 -82.4 965 70 
20080909 1800 22.7 -83.3 966 65 
20080910 0000 23.1 -84.0 968 65 
20080910 0600 23.4 -84.6 964 70 
20080910 1200 23.8 -85.2 959 80 
20080910 1800 24.2 -85.8 958 85 
20080911 0000 24.7 -86.4 944 85 
20080911 0600 25.1 -87.1 945 85 
20080911 1200 25.5 -88.0 946 85 
20080911 1800 25.8 -88.9 952 85 
20080912 0000 26.1 -90.0 954 85 
20080912 0600 26.4 -91.1 954 90 
20080912 1200 26.9 -92.2 954 95 
20080912 1800 27.5 -93.2 954 95 
20080913 0000 28.3 -94.0 952 95 
20080913 0600 29.1 -94.6 951 95 
20080913 1200 30.3 -95.2 959 85 
20080913 1800 31.7 -95.3 974 50 
20080914 0000 33.5 -94.9 980 35 
20080914 0600 35.5 -93.7 985 35 
20080914 1200 37.6 -91.0 987 40 
20080914 1800 40.3 -87.2 988 50 
20080915 0000 43.3 -81.5 988 50 
20080915 0600 45.8 -75.3 986 40 
20080915 1200 47.2 -71.1 986 35 
