# Best track for Hurricane Irma, 30 August–12 September 2017
# Source: https://www.nhc.noaa.gov/data/tcr/AL112017_Irma.pdf 
# Date/Time  Latitude  Longitude  Pressure  Wind Speed
# (UTC)      (°N)      (°W)       (mb)      (kt)
20170830 0000 16.1 -26.9 1008 30
20170830 0600 16.2 -28.3 1007 35
20170830 1200 16.3 -29.7 1006 45
20170830 1800 16.3 -30.8 1004 50
20170831 0000 16.3 -31.7 999 55 
20170831 0600 16.4 -32.5 994 65 
20170831 1200 16.7 -33.4 983 80 
20170831 1800 17.1 -34.2 970 95 
20170901 0000 17.5 -35.1 967 100
20170901 0600 17.9 -36.1 967 100
20170901 1200 18.4 -37.3 967 100
20170901 1800 18.8 -38.5 967 100
20170902 0000 19.1 -39.7 967 100
20170902 0600 19.1 -41.1 967 100
20170902 1200 18.9 -42.6 973 95 
20170902 1800 18.7 -44.1 973 95 
20170903 0000 18.5 -45.5 973 95 
20170903 0600 18.2 -46.7 973 95 
20170903 1200 17.9 -47.9 969 100
20170903 1800 17.6 -49.2 965 100
20170904 0000 17.3 -50.4 959 100
20170904 0600 17.0 -51.5 952 105
20170904 1200 16.8 -52.6 945 110
20170904 1800 16.7 -53.9 944 115
20170905 0000 16.6 -55.1 943 125
20170905 0600 16.6 -56.4 933 135 
20170905 1200 16.7 -57.8 929 150
20170905 1800 16.9 -59.2 926 155
20170906 0000 17.3 -60.6 915 155
20170906 0600 17.7 -61.9 914 155
20170906 1115 18.1 -63.1 914 155
20170906 1200 18.1 -63.3 915 155
20170906 1800 18.6 -64.7 916 150
20170907 0000 19.2 -66.2 916 150
20170907 0600 19.7 -67.6 920 145
20170907 1200 20.2 -69.0 921 145
20170907 1800 20.7 -70.4 922 145
20170908 0000 21.1 -71.8 919 140
20170908 0600 21.5 -73.2 925 135
20170908 1200 21.8 -74.7 927 135
20170908 1800 22.0 -76.0 925 140
20170909 0000 22.1 -77.2 924 145
20170909 0600 22.4 -78.3 930 130
20170909 1200 22.7 -79.3 941 110
20170909 1800 23.1 -80.2 938 95 
20170910 0000 23.4 -80.9 932 100
20170910 0600 23.7 -81.3 930 115
20170910 1200 24.5 -81.5 931 115
20170910 1800 25.6 -81.7 936 100
20170911 0000 26.8 -81.7 942 80 
20170911 0600 28.2 -82.2 961 65 
20170911 1200 29.6 -82.7 970 50 
20170911 1800 30.9 -83.5 980 45 
20170912 0000 31.9 -84.4 986 35 
20170912 0600 32.9 -85.6 997 25 
20170912 1200 33.8 -86.9 1000 20
20170912 1800 34.8 -88.1 1003 15
20170913 0000 35.6 -88.9 1004 15
20170913 0600 36.2 -89.5 1004 15
20170913 1200 36.8 -90.1 1005 15
