# Table 1. Best track for Hurricane Isabel, 6-19 September 2003.
# Source: https://www.nhc.noaa.gov/data/tcr/AL132003_Isabel.pdf
# Date/Time  Latitude  Longitude  Pressure  Wind Speed
# (UTC)      (°N)      (°W)       (mb)      (kt)
20030906 0000 13.8 -31.4 1009 30
20030906 0600 13.9 -32.7 1005 35
20030906 1200 13.6 -33.9 1003 40
20030906 1800 13.4 -34.9 1000 45
20030907 0000 13.5 -35.8 994 55 
20030907 0600 13.9 -36.5 991 60 
20030907 1200 14.4 -37.3 987 65 
20030907 1800 15.2 -38.5 984 70 
20030908 0000 15.8 -39.7 976 80 
20030908 0600 16.5 -40.9 966 95 
20030908 1200 17.1 -42.0 952 110
20030908 1800 17.6 -43.1 952 110
20030909 0000 18.2 -44.1 948 115
20030909 0600 18.9 -45.2 948 115
20030909 1200 19.4 -46.3 948 115
20030909 1800 20.0 -47.3 948 115
20030910 0000 20.5 -48.3 952 110
20030910 0600 20.9 -49.4 952 110
20030910 1200 21.1 -50.4 948 115
20030910 1800 21.1 -51.4 942 120
20030911 0000 21.2 -52.3 935 125
20030911 0600 21.3 -53.2 935 125
20030911 1200 21.4 -54.0 925 135
20030911 1800 21.5 -54.8 915 145
20030912 0000 21.6 -55.7 920 140
20030912 0600 21.7 -56.6 920 140
20030912 1200 21.6 -57.4 920 140
20030912 1800 21.7 -58.2 920 140
20030913 0000 21.8 -59.1 925 135
20030913 0600 21.9 -60.1 935 130
20030913 1200 22.1 -61.0 935 135
20030913 1800 22.5 -62.1 932 140
20030914 0000 22.9 -63.3 935 135
20030914 0600 23.2 -64.6 939 135
20030914 1200 23.5 -65.8 935 135
20030914 1800 23.9 -67.0 933 140
20030915 0000 24.3 -67.9 937 130
20030915 0600 24.5 -68.8 940 125
20030915 1200 24.8 -69.4 946 120
20030915 1800 25.3 -69.8 949 115
20030916 0000 25.7 -70.2 952 105
20030916 0600 26.3 -70.5 955 100
20030916 1200 26.8 -70.9 959 95 
20030916 1800 27.4 -71.2 959 95 
20030917 0000 28.1 -71.5 957 95 
20030917 0600 28.9 -71.9 957 95 
20030917 1200 29.7 -72.5 957 90 
20030917 1800 30.6 -73.0 955 90 
20030918 0000 31.5 -73.5 953 90 
20030918 0600 32.5 -74.3 956 90 
20030918 1200 33.7 -75.2 956 90 
20030918 1800 35.1 -76.4 958 85 
20030919 0000 36.7 -77.7 969 65 
20030919 0600 38.6 -78.9 988 50 
20030919 1200 40.9 -80.3 997 35 
20030919 1800 43.9 -80.9 1000 30
20030920 0000 48.0 -81.0 1000 25
