# Table 1. Best track for Hurricane Lane, 15–28 August 2018
# Source: https://www.nhc.noaa.gov/data/tcr/EP142018_Lane.pdf
# Date/Time  Latitude  Longitude  Pressure  Wind Speed
# (UTC)      (°N)      (°W)       (mb)      (kt)
20180813 1200 10.9 -114.7 1009 20
20180813 1800 11.0 -115.7 1009 20
20180814 0000 11.1 -116.6 1009 25
20180814 0600 11.1 -117.4 1009 25
20180814 1200 11.1 -118.4 1009 25
20180814 1800 11.1 -119.4 1009 25
20180815 0000 11.0 -120.6 1008 30
20180815 0600 10.8 -121.7 1007 30
20180815 1200 10.7 -122.8 1006 35
20180815 1800 10.5 -123.9 1005 40
20180816 0000 10.4 -124.9 1003 45
20180816 0600 10.4 -125.9 1003 45
20180816 1200 10.4 -126.9 1001 50
20180816 1800 10.5 -127.9 999 55 
20180817 0000 11.0 -129.2 992 65
20180817 0600 11.2 -130.7 990 70 
20180817 1200 11.2 -132.1 982 85 
20180817 1800 11.3 -133.6 977 90 
20180818 0000 11.6 -134.9 969 100
20180818 0600 11.9 -136.2 956 115
20180818 1200 12.1 -137.5 950 120
20180818 1800 12.4 -138.9 950 120
20180819 0000 12.6 -140.3 956 115
20180819 0600 12.8 -141.6 961 110
20180819 1200 13.0 -142.9 966 105
20180819 1800 13.3 -144.1 966 105
20180820 0000 13.5 -145.3 966 105
20180820 0600 13.6 -146.5 966 105
20180820 1200 13.6 -147.7 966 105
20180820 1800 13.6 -148.7 964 110
20180821 0000 13.7 -149.8 959 115
20180821 0600 13.9 -150.8 953 120
20180821 1200 14.0 -151.8 941 130
20180821 1800 14.1 -152.7 941 130
20180822 0000 14.3 -153.6 929 140
20180822 0600 14.5 -154.3 926 140
20180822 1200 14.8 -155.0 938 130
20180822 1800 15.1 -155.6 938 130
20180823 0000 15.6 -156.3 942 125
20180823 0600 16.0 -156.8 942 125
20180823 1200 16.5 -157.2 946 120
20180823 1800 17.0 -157.5 950 115
20180824 0000 17.5 -157.8 959 105
20180824 0600 17.9 -158.0 962 100
20180824 1200 18.3 -158.1 969 90 
20180824 1800 18.6 -158.1 977 80 
20180825 0000 18.9 -158.2 987 65 
20180825 0600 19.2 -158.3 995 55 
20180825 1200 19.4 -158.5 998 50 
20180825 1800 19.5 -159.1 1001 45
20180826 0000 19.5 -159.8 1003 40
20180826 0600 19.4 -160.7 1005 35
20180826 1200 19.3 -161.6 1006 30
20180826 1800 19.1 -162.4 1006 30
20180827 0000 18.9 -163.3 1006 30
20180827 0600 18.8 -164.1 1006 30
20180827 1200 18.7 -165.0 1005 35
20180827 1800 18.5 -165.9 1005 35
20180828 0000 18.4 -166.4 1006 30
20180828 0600 18.4 -167.0 1006 30
20180828 1200 18.5 -167.6 1006 30
20180828 1800 18.6 -168.1 1006 30
20180829 0000 19.1 -168.3 1007 25
20180829 0600 19.5 -168.3 1007 25
