Date,41052,41056,42085,41053,chsv3
2017-09-19 00:00:00,7.600,6.300,4.150,6.000,4.450
2017-09-19 01:00:00,8.000,6.500,4.000,5.750,5.500
2017-09-19 02:00:00,7.050,7.150,4.650,6.150,5.100
2017-09-19 03:00:00,8.000,7.200,4.850,6.300,5.000
2017-09-19 04:00:00,8.300,7.650,5.300,5.550,5.150
2017-09-19 05:00:00,8.400,7.550,4.700,6.350,4.800
2017-09-19 06:00:00,8.100,7.950,4.150,6.300,5.750
2017-09-19 07:00:00,8.100,7.700,3.650,6.400,6.850
2017-09-19 08:00:00,7.500,7.800,3.100,5.950,6.100
2017-09-19 09:00:00,8.650,8.200,5.100,6.350,5.600
2017-09-19 10:00:00,9.100,8.600,4.200,6.750,7.250
2017-09-19 11:00:00,8.800,8.650,4.450,6.950,7.750
2017-09-19 12:00:00,9.050,8.800,5.150,7.150,7.800
2017-09-19 13:00:00,10.350,9.450,5.900,7.400,5.500
2017-09-19 14:00:00,10.150,9.950,4.500,7.150,6.300
2017-09-19 15:00:00,9.600,8.200,4.800,8.250,6.800
2017-09-19 16:00:00,10.800,9.300,5.500,5.800,5.800
2017-09-19 17:00:00,11.350,10.400,7.850,7.650,8.450
2017-09-19 18:00:00,11.200,9.200,5.000,7.600,9.000
2017-09-19 19:00:00,11.750,10.800,6.750,8.700,10.750
2017-09-19 20:00:00,12.150,12.350,4.150,10.000,11.400
2017-09-19 21:00:00,13.600,12.550,6.300,9.700,12.000
2017-09-19 22:00:00,14.100,12.200,6.700,9.600,12.000
2017-09-19 23:00:00,14.800,13.250,6.200,9.900,16.050
2017-09-20 00:00:00,15.600,13.600,5.750,11.750,13.900
2017-09-20 01:00:00,16.750,13.900,7.650,11.500,16.400
2017-09-20 02:00:00,18.050,14.750,8.050,12.150,
2017-09-20 03:00:00,19.250,15.850,7.950,12.600,
2017-09-20 04:00:00,17.700,16.000,9.100,13.400,
2017-09-20 05:00:00,19.250,17.800,8.350,13.650,
2017-09-20 06:00:00,20.400,18.500,10.900,15.850,
2017-09-20 07:00:00,19.700,19.800,12.400,17.900,
2017-09-20 08:00:00,20.300,20.300,12.400,18.600,
2017-09-20 09:00:00,,,,,
2017-09-20 10:00:00,16.000,,15.600,24.100,
2017-09-20 11:00:00,17.300,18.800,20.500,,
2017-09-20 12:00:00,16.400,17.600,21.200,,
2017-09-20 13:00:00,13.600,16.900,,,
2017-09-20 14:00:00,14.400,14.400,24.400,23.000,
2017-09-20 15:00:00,12.100,13.400,23.900,22.200,
2017-09-20 16:00:00,12.600,13.900,25.500,19.200,
2017-09-20 17:00:00,12.200,14.200,24.700,15.800,
2017-09-20 18:00:00,,,,,
2017-09-20 19:00:00,11.200,12.900,20.300,15.300,
2017-09-20 20:00:00,11.600,12.700,18.000,13.500,
2017-09-20 21:00:00,9.000,12.800,17.200,13.600,
2017-09-20 22:00:00,8.600,11.200,16.300,11.700,
2017-09-20 23:00:00,10.300,11.100,15.800,10.300,
2017-09-21 00:00:00,8.200,11.100,13.900,9.900,
2017-09-21 01:00:00,9.200,10.300,13.000,10.100,
2017-09-21 02:00:00,9.200,10.600,13.500,9.200,
2017-09-21 03:00:00,9.600,10.200,13.000,7.600,
2017-09-21 04:00:00,10.400,10.500,11.600,6.800,
2017-09-21 05:00:00,9.900,11.200,11.000,7.300,
2017-09-21 06:00:00,9.800,10.200,10.600,7.800,
2017-09-21 07:00:00,10.000,8.900,9.600,6.100,
2017-09-21 08:00:00,8.800,9.000,9.400,2.000,
2017-09-21 09:00:00,6.300,8.400,11.400,5.200,
2017-09-21 10:00:00,9.700,7.400,10.300,8.000,
2017-09-21 11:00:00,9.800,8.100,10.300,8.400,
2017-09-21 12:00:00,9.500,8.400,10.100,6.700,
2017-09-21 13:00:00,8.500,9.200,9.400,4.900,
2017-09-21 14:00:00,9.400,9.700,9.400,5.700,
2017-09-21 15:00:00,9.100,8.700,8.600,4.200,
2017-09-21 16:00:00,7.900,8.100,8.900,7.300,
2017-09-21 17:00:00,8.900,8.400,8.100,7.400,
2017-09-21 18:00:00,8.800,7.600,8.100,7.300,
2017-09-21 19:00:00,8.700,8.300,7.300,6.400,
2017-09-21 20:00:00,7.300,7.100,7.300,7.400,
2017-09-21 21:00:00,7.300,6.200,7.200,6.100,
2017-09-21 22:00:00,7.000,7.000,6.400,5.400,
2017-09-21 23:00:00,8.000,6.700,6.500,5.500,
2017-09-22 00:00:00,7.900,8.900,5.800,7.400,
