# Table 1. Best track for Hurricane Maria, 16–30 September 2017
# Source: https://www.nhc.noaa.gov/data/tcr/AL152017_Maria.pdf
# Date/Time  Latitude  Longitude  Pressure  Wind Speed
# (UTC)      (°N)      (°W)       (mb)      (kt)
20170916 1200 12.2 -49.7 1006 30
20170916 1800 12.2 -51.7 1004 40
20170917 0000 12.4 -53.1 1002 45
20170917 0600 12.8 -54.4 994 55 
20170917 1200 13.3 -55.7 990 60 
20170917 1800 13.6 -57.0 986 65 
20170918 0000 14.0 -58.0 979 75 
20170918 0600 14.3 -59.0 977 80 
20170918 1200 14.5 -59.7 967 100
20170918 1800 14.9 -60.4 956 110
20170919 0000 15.3 -61.1 924 145
20170919 0115 15.4 -61.3 922 145
20170919 0600 15.7 -61.9 940 135
20170919 1200 16.1 -62.7 931 140
20170919 1800 16.6 -63.5 920 145
20170920 0000 17.0 -64.3 909 150
20170920 0300 17.3 -64.7 908 150
20170920 0600 17.6 -65.1 913 140
20170920 1015 18.0 -65.9 920 135
20170920 1200 18.2 -66.2 935 115
20170920 1800 18.6 -67.0 959 95 
20170921 0000 19.0 -67.6 958 95 
20170921 0600 19.4 -68.2 959 100
20170921 1200 19.9 -68.8 959 100
20170921 1800 20.5 -69.5 960 105
20170922 0000 20.8 -70.0 953 110
20170922 0600 21.2 -70.5 959 110
20170922 1200 21.9 -70.9 958 110
20170922 1800 22.8 -71.2 959 110
20170923 0000 23.7 -71.6 953 105
20170923 0600 24.4 -71.9 952 100
20170923 1200 25.1 -72.1 952 100
20170923 1800 25.9 -72.3 952 100
20170924 0000 26.6 -72.4 945 100
20170924 0600 27.5 -72.6 942 95 
20170924 1200 28.4 -72.8 947 95 
20170924 1800 29.1 -72.9 943 90 
20170925 0000 29.7 -72.9 947 85 
20170925 0600 30.3 -72.9 954 75 
20170925 1200 30.8 -73.0 961 70 
20170925 1800 31.4 -73.1 966 70 
20170926 0000 32.0 -73.1 966 70 
20170926 0600 32.6 -73.1 970 65 
20170926 1200 33.3 -73.1 970 65 
20170926 1800 33.9 -73.1 975 65 
20170927 0000 34.4 -73.0 975 65 
20170927 0600 34.9 -72.9 976 65 
20170927 1200 35.4 -72.8 977 65 
20170927 1800 36.0 -72.6 979 65 
20170928 0000 36.6 -72.2 979 65 
20170928 0600 36.7 -71.3 982 60 
20170928 1200 36.8 -70.0 982 60 
20170928 1800 36.8 -68.6 985 55 
20170929 0000 36.9 -66.8 985 55 
20170929 0600 37.0 -64.6 987 50 
20170929 1200 37.0 -62.0 988 50 
20170929 1800 37.4 -59.0 988 50 
20170930 0000 38.1 -55.6 988 50 
20170930 0600 39.1 -52.2 988 50 
20170930 1200 40.0 -48.8 988 50 
20170930 1800 41.2 -45.6 991 45 
20171001 0000 42.2 -42.6 994 45 
20171001 0600 43.4 -39.4 996 45 
20171001 1200 44.9 -35.5 999 45 
20171001 1800 46.5 -31.0 1003 45
20171002 0000 47.5 -26.5 1005 40
20171002 0600 48.0 -22.0 1012 40
20171002 1200 48.0 -17.0 1016 30
