# Table 1. Best track for Hurricane Michael, 7–11 October 2018
# Source: https://www.nhc.noaa.gov/data/tcr/AL142018_Michael.pdf
# Date/Time  Latitude  Longitude  Pressure  Wind Speed
# (UTC)      (°N)      (°W)       (mb)      (kt)
20181006 1800 17.8 -86.6 1006 25
20181007 0000 18.1 -86.9 1004 25
20181007 0600 18.4 -86.8 1004 30
20181007 1200 18.8 -86.4 1003 35
20181007 1800 19.1 -85.7 999 45 
20181008 0000 19.7 -85.5 996 50 
20181008 0600 20.2 -85.4 984 60 
20181008 1200 20.9 -85.1 982 65 
20181008 1800 21.7 -85.1 977 75 
20181009 0000 22.7 -85.2 971 85 
20181009 0600 23.7 -85.8 973 85 
20181009 1200 24.6 -86.2 968 90 
20181009 1800 25.6 -86.4 961 100
20181010 0000 26.6 -86.5 952 110
20181010 0600 27.7 -86.6 945 120
20181010 1200 29.0 -86.3 934 125
20181010 1800 30.2 -85.4 920 135
20181011 0000 31.5 -84.5 957 80 
20181011 0600 32.8 -83.2 979 50 
20181011 1200 34.1 -81.7 987 45 
20181011 1800 35.6 -80.0 991 45
20181012 0000 36.5 -77.7 988 50
20181012 0600 37.3 -75.0 983 60
20181012 1200 39.1 -70.6 980 60
20181012 1800 41.1 -66.1 977 60
20181013 0000 43.1 -61.5 975 65
20181013 0600 44.8 -55.7 975 65
20181013 1200 46.4 -48.2 975 65
20181013 1800 47.6 -40.7 975 65
20181014 0000 48.4 -33.1 975 65
20181014 0600 48.8 -26.1 975 65
20181014 1200 48.6 -20.7 975 60
20181014 1800 47.5 -16.4 978 55
20181015 0000 45.9 -13.5 982 55
20181015 0600 44.4 -11.4 989 50
20181015 1200 42.8 -10.3 996 35
20181015 1800 41.2 -10.0 1001 35
