# Table 1. Best track for Hurricane Sandy, 22 – 29 October 2012.
# Source: https://www.nhc.noaa.gov/data/tcr/AL182012_Sandy.pdf
# Date/Time  Latitude  Longitude  Pressure  Wind Speed
# (UTC)      (°N)      (°W)       (mb)      (kt)
20121021 1800 14.3 -77.4 1006 25
20121022 0000 13.9 -77.8 1005 25
20121022 0600 13.5 -78.2 1003 25
20121022 1200 13.1 -78.6 1002 30
20121022 1800 12.7 -78.7 1000 35
20121023 0000 12.6 -78.4 998 40 
20121023 0600 12.9 -78.1 998 40 
20121023 1200 13.4 -77.9 995 40 
20121023 1800 14.0 -77.6 993 45 
20121024 0000 14.7 -77.3 990 55 
20121024 0600 15.6 -77.1 987 60 
20121024 1200 16.6 -76.9 981 65
20121024 1800 17.7 -76.7 972 75 
20121024 1900 17.9 -76.6 971 75 
20121025 0000 18.9 -76.4 964 85 
20121025 0525 20.0 -76.0 954 100
20121025 0600 20.1 -76.0 954 100
20121025 0900 20.9 -75.7 960 95 
20121025 1200 21.7 -75.5 966 95 
20121025 1800 23.3 -75.3 963 90 
20121026 0000 24.8 -75.9 965 75
20121026 0600 25.7 -76.4 968 70
20121026 1200 26.4 -76.9 970 65
20121026 1800 27.0 -77.2 971 65
20121027 0000 27.5 -77.1 969 60
20121027 0600 28.1 -76.9 968 60
20121027 1200 28.8 -76.5 956 70
20121027 1800 29.7 -75.6 960 70
20121028 0000 30.5 -74.7 960 65
20121028 0600 31.3 -73.9 959 65
20121028 1200 32.0 -73.0 954 65
20121028 1800 32.8 -72.0 952 65
20121029 0000 33.9 -71.0 950 70
20121029 0600 35.3 -70.5 947 80
20121029 1200 36.9 -71.0 945 85
20121029 1800 38.3 -73.2 940 80
20121029 2100 38.8 -74.0 943 75
20121029 2330 39.4 -74.4 945 70
20121030 0000 39.5 -74.5 946 70
20121030 0600 39.9 -76.2 960 55
20121030 1200 40.1 -77.8 978 50
20121030 1800 40.4 -78.9 986 40
20121031 0000 40.7 -79.8 992 35
20121031 0600 41.1 -80.3 993 35
20121031 1200 41.5 -80.7 995 30
